id,prompt_id,essay,grades
0,0,"['Com os avanços que a sociedade deu em tecnologia, nas últimas décadas, o estudo se tornou indispensável para quem deseja progredir na vida. Apesar disso, recente pesquisa realizada pela Datafolha demonstra que o brasileiro considera ele segundo plano em comparação com a fé religiosa.', 'A rede mundial de computadores, desde sua criação nos anos 89 e 90, trouxe consigo muitas tecnologias e avanços em muitas áreas como na Medicina, na indústria e no serviço público. Nos hospitais e Laboratórios, os equipamentos modernos, como os de ressonância magnética, auxiliam muito no tratamento e prevenção da Saúde. Na indústria automobilística, os robôs assumem os postos de trabalhadores, que, outrora, eram de pessoas. Já no serviço público, os processos, do poder judiciário, por exemplo, são, em sua maioria, totalmente eletrônicos.', 'Pelo exposto, os profissionais que desejam atuar nessas e em diversas outras áreas necessitam de qualificação adequada, ou seja, estudo. Ademais, não basta tê-lo de forma superficial, é necessário o maior número de conhecimento possível na área em que se deseja atuar.', 'Nesse contexto, e, pensando num futuro ainda mais avançado com tecnologias em todos os setores da economia, fica evidente que o estudo é pilar fundamental para quem queira melhorar de vida.', 'Por fim, apesar dos brasileiros serem religiosos, em sua maioria, e terem fé em Deus, não se pode esperar que a religião, através dessa fé, possa substituir a busca individual da qualificação, do conhecimento e da Inteligência, que levará o indivíduo a alcançar os sonhos e planos traçados para a vida.']","[160, 200, 200, 160, 160]"
0,0,"['Com os avanços que a sociedade deu em tecnologia, nas últimas décadas, o estudo se tornou indispensável para quem deseja progredir na vida. Apesar disso, recente pesquisa realizada pela Datafolha demonstra que o brasileiro considera ele segundo plano em comparação com a fé religiosa.', 'A rede mundial de computadores, desde sua criação nos anos 89 e 90, trouxe consigo muitas tecnologias e avanços em muitas áreas como na Medicina, na indústria e no serviço público. Nos hospitais e Laboratórios, os equipamentos modernos, como os de ressonância magnética, auxiliam muito no tratamento e prevenção da Saúde. Na indústria automobilística, os robôs assumem os postos de trabalhadores, que, outrora, eram de pessoas. Já no serviço público, os processos, do poder judiciário, por exemplo, são, em sua maioria, totalmente eletrônicos.', 'Pelo exposto, os profissionais que desejam atuar nessas e em diversas outras áreas necessitam de qualificação adequada, ou seja, estudo. Ademais, não basta tê-lo de forma superficial, é necessário o maior número de conhecimento possível na área em que se deseja atuar.', 'Nesse contexto, e, pensando num futuro ainda mais avançado com tecnologias em todos os setores da economia, fica evidente que o estudo é pilar fundamental para quem queira melhorar de vida.', 'Por fim, apesar dos brasileiros serem religiosos, em sua maioria, e terem fé em Deus, não se pode esperar que a religião, através dessa fé, possa substituir a busca individual da qualificação, do conhecimento e da Inteligência, que levará o indivíduo a alcançar os sonhos e planos traçados para a vida.']","[160, 200, 120, 160, 40]"
0,0,"['Com os avanços que a sociedade deu em tecnologia, nas últimas décadas, o estudo se tornou indispensável para quem deseja progredir na vida. Apesar disso, recente pesquisa realizada pela Datafolha demonstra que o brasileiro considera ele segundo plano em comparação com a fé religiosa.', 'A rede mundial de computadores, desde sua criação nos anos 89 e 90, trouxe consigo muitas tecnologias e avanços em muitas áreas como na Medicina, na indústria e no serviço público. Nos hospitais e Laboratórios, os equipamentos modernos, como os de ressonância magnética, auxiliam muito no tratamento e prevenção da Saúde. Na indústria automobilística, os robôs assumem os postos de trabalhadores, que, outrora, eram de pessoas. Já no serviço público, os processos, do poder judiciário, por exemplo, são, em sua maioria, totalmente eletrônicos.', 'Pelo exposto, os profissionais que desejam atuar nessas e em diversas outras áreas necessitam de qualificação adequada, ou seja, estudo. Ademais, não basta tê-lo de forma superficial, é necessário o maior número de conhecimento possível na área em que se deseja atuar.', 'Nesse contexto, e, pensando num futuro ainda mais avançado com tecnologias em todos os setores da economia, fica evidente que o estudo é pilar fundamental para quem queira melhorar de vida.', 'Por fim, apesar dos brasileiros serem religiosos, em sua maioria, e terem fé em Deus, não se pode esperar que a religião, através dessa fé, possa substituir a busca individual da qualificação, do conhecimento e da Inteligência, que levará o indivíduo a alcançar os sonhos e planos traçados para a vida.']","[160, 120, 160, 160, 0]"
1,0,"['De acordo com pesquisas, o Brasil é o país da América do Sul com o maior percentual de doenças psicológicas como a depressão e a ansiedade, presente maioritariamente em adultos e idosos do sexo feminino. Dessa forma, a saúde física e mental é um dos tópicos mais tratados quando é discutido o que um indivíduo necessita para vencer na vida.', 'Não obstante, para obter a saúde - pensando além da biologia do corpo - é necessária uma conexão de sentimentos e forças adquiridas através das relações humanas, como o amor, carinho e compaixão. De acordo com Bauman, a vida tende como um pêndulo: quando temos uma coisa, logo passamos a querer outra, mergulhando em uma modernidade líquida aonde as relações não são bem exploradas, aonde pessoas são descartáveis e levando, então, as doenças do mal do século como depressão e ansiedade.', 'Em decorrência, o índice de pessoas que não acham motivos para crescer na vida, tornando-se infelizes, desanimados, dando espaço para esse mal do século, aumenta. E para combater o impasse, surge a fé: o núcleo da vida humana, o subjetivismo que leva o ser humano a acreditar em algo maior para que se possa fazer o bem, procurando a empatia.', 'De certa maneira, a fé, divergente dos rótulos religiosos, é o que mantém um ser em consciência mútua da realidade, consentindo-a com a irrealidade -presente na metafísica de Aristóteles, na qual o ser procura conhecimento na essência das coisas além da ciência.', 'Portanto, é através da fé que a sociedade encontra o esforço para lutar pelos direitos ao trabalho, a educação, conquistando outros objetivos superficiais, mas de grande valor social, como explicado pela modernidade líquida de Bauman. Desse jeito, através da conscientização da população a buscar a fé, aderindo compaixão e empatia em suas rotinas, o século XX pode superar os problemas sociais, psicológicos, emocionais e de saúde, conquistando o melhor da vida e vencendo em seus objetivos.']","[120, 120, 120, 160, 120]"
1,0,"['De acordo com pesquisas, o Brasil é o país da América do Sul com o maior percentual de doenças psicológicas como a depressão e a ansiedade, presente maioritariamente em adultos e idosos do sexo feminino. Dessa forma, a saúde física e mental é um dos tópicos mais tratados quando é discutido o que um indivíduo necessita para vencer na vida.', 'Não obstante, para obter a saúde - pensando além da biologia do corpo - é necessária uma conexão de sentimentos e forças adquiridas através das relações humanas, como o amor, carinho e compaixão. De acordo com Bauman, a vida tende como um pêndulo: quando temos uma coisa, logo passamos a querer outra, mergulhando em uma modernidade líquida aonde as relações não são bem exploradas, aonde pessoas são descartáveis e levando, então, as doenças do mal do século como depressão e ansiedade.', 'Em decorrência, o índice de pessoas que não acham motivos para crescer na vida, tornando-se infelizes, desanimados, dando espaço para esse mal do século, aumenta. E para combater o impasse, surge a fé: o núcleo da vida humana, o subjetivismo que leva o ser humano a acreditar em algo maior para que se possa fazer o bem, procurando a empatia.', 'De certa maneira, a fé, divergente dos rótulos religiosos, é o que mantém um ser em consciência mútua da realidade, consentindo-a com a irrealidade -presente na metafísica de Aristóteles, na qual o ser procura conhecimento na essência das coisas além da ciência.', 'Portanto, é através da fé que a sociedade encontra o esforço para lutar pelos direitos ao trabalho, a educação, conquistando outros objetivos superficiais, mas de grande valor social, como explicado pela modernidade líquida de Bauman. Desse jeito, através da conscientização da população a buscar a fé, aderindo compaixão e empatia em suas rotinas, o século XX pode superar os problemas sociais, psicológicos, emocionais e de saúde, conquistando o melhor da vida e vencendo em seus objetivos.']","[160, 160, 120, 160, 120]"
1,0,"['De acordo com pesquisas, o Brasil é o país da América do Sul com o maior percentual de doenças psicológicas como a depressão e a ansiedade, presente maioritariamente em adultos e idosos do sexo feminino. Dessa forma, a saúde física e mental é um dos tópicos mais tratados quando é discutido o que um indivíduo necessita para vencer na vida.', 'Não obstante, para obter a saúde - pensando além da biologia do corpo - é necessária uma conexão de sentimentos e forças adquiridas através das relações humanas, como o amor, carinho e compaixão. De acordo com Bauman, a vida tende como um pêndulo: quando temos uma coisa, logo passamos a querer outra, mergulhando em uma modernidade líquida aonde as relações não são bem exploradas, aonde pessoas são descartáveis e levando, então, as doenças do mal do século como depressão e ansiedade.', 'Em decorrência, o índice de pessoas que não acham motivos para crescer na vida, tornando-se infelizes, desanimados, dando espaço para esse mal do século, aumenta. E para combater o impasse, surge a fé: o núcleo da vida humana, o subjetivismo que leva o ser humano a acreditar em algo maior para que se possa fazer o bem, procurando a empatia.', 'De certa maneira, a fé, divergente dos rótulos religiosos, é o que mantém um ser em consciência mútua da realidade, consentindo-a com a irrealidade -presente na metafísica de Aristóteles, na qual o ser procura conhecimento na essência das coisas além da ciência.', 'Portanto, é através da fé que a sociedade encontra o esforço para lutar pelos direitos ao trabalho, a educação, conquistando outros objetivos superficiais, mas de grande valor social, como explicado pela modernidade líquida de Bauman. Desse jeito, através da conscientização da população a buscar a fé, aderindo compaixão e empatia em suas rotinas, o século XX pode superar os problemas sociais, psicológicos, emocionais e de saúde, conquistando o melhor da vida e vencendo em seus objetivos.']","[160, 120, 80, 120, 40]"
2,0,"['Em uma pesquisa recente realizada pela ONG Oxfam Brasil mostra que a maioria dos brasileiros entrevistados consideram a religião mais importante para mudar de vida. É fato que a religião exerce um papel social e trabalha principalmente com o sentimento de ""pertencer"", mas seria a fé o fator mais importante para mudar de vida?', 'Pensadores como Karl Marx definem a religião como o ópio do povo. A linha entre o fanatismo religioso e a religiosidade exercida de forma correta, sem preconceitos com demais religiões e pessoas é tênua, e nem sempre respeitada por aqueles que escolhem o caminho da religião.', 'Os dados da pesquisa mencionada anteriormente mostram que a maior parte dos brasileiros colocam a fé religiosa acima da educação como método para mudar de vida, pensamento que na idade média era exercido pela igreja católica colocando a fé acima da razão.', 'Não é possível escolher apenas um âmbito social para mudança de vida pois é um conjunto de iniciativas que não se limitam á apenas um item. Para uma transformação social é necessário o apoio da família ensinando suas próprias crenças e o respeito com as demais devoções e a importância da educação.', 'A escola por sua vez deve mostrar a diversidade religiosa e acima de tudo exercer o estudo das demais matérias. O governo portanto deve fazer investimento nas áreas de educação, lazer e saúde, que contribuem para uma mudança social.']","[120, 80, 120, 80, 120]"
2,0,"['Em uma pesquisa recente realizada pela ONG Oxfam Brasil mostra que a maioria dos brasileiros entrevistados consideram a religião mais importante para mudar de vida. É fato que a religião exerce um papel social e trabalha principalmente com o sentimento de ""pertencer"", mas seria a fé o fator mais importante para mudar de vida?', 'Pensadores como Karl Marx definem a religião como o ópio do povo. A linha entre o fanatismo religioso e a religiosidade exercida de forma correta, sem preconceitos com demais religiões e pessoas é tênua, e nem sempre respeitada por aqueles que escolhem o caminho da religião.', 'Os dados da pesquisa mencionada anteriormente mostram que a maior parte dos brasileiros colocam a fé religiosa acima da educação como método para mudar de vida, pensamento que na idade média era exercido pela igreja católica colocando a fé acima da razão.', 'Não é possível escolher apenas um âmbito social para mudança de vida pois é um conjunto de iniciativas que não se limitam á apenas um item. Para uma transformação social é necessário o apoio da família ensinando suas próprias crenças e o respeito com as demais devoções e a importância da educação.', 'A escola por sua vez deve mostrar a diversidade religiosa e acima de tudo exercer o estudo das demais matérias. O governo portanto deve fazer investimento nas áreas de educação, lazer e saúde, que contribuem para uma mudança social.']","[160, 160, 120, 120, 120]"
2,0,"['Em uma pesquisa recente realizada pela ONG Oxfam Brasil mostra que a maioria dos brasileiros entrevistados consideram a religião mais importante para mudar de vida. É fato que a religião exerce um papel social e trabalha principalmente com o sentimento de ""pertencer"", mas seria a fé o fator mais importante para mudar de vida?', 'Pensadores como Karl Marx definem a religião como o ópio do povo. A linha entre o fanatismo religioso e a religiosidade exercida de forma correta, sem preconceitos com demais religiões e pessoas é tênua, e nem sempre respeitada por aqueles que escolhem o caminho da religião.', 'Os dados da pesquisa mencionada anteriormente mostram que a maior parte dos brasileiros colocam a fé religiosa acima da educação como método para mudar de vida, pensamento que na idade média era exercido pela igreja católica colocando a fé acima da razão.', 'Não é possível escolher apenas um âmbito social para mudança de vida pois é um conjunto de iniciativas que não se limitam á apenas um item. Para uma transformação social é necessário o apoio da família ensinando suas próprias crenças e o respeito com as demais devoções e a importância da educação.', 'A escola por sua vez deve mostrar a diversidade religiosa e acima de tudo exercer o estudo das demais matérias. O governo portanto deve fazer investimento nas áreas de educação, lazer e saúde, que contribuem para uma mudança social.']","[120, 80, 80, 80, 40]"
3,0,"['A ideia de vencer na vida, presente no imaginário coletivo, divide opiniões quanto a qual seria o principal fator de mudança para o sucesso, na vida do cidadão brasileiro. Dessa forma, os resultados de uma pesquisa recentemente realizada pela ONG Oxfam Brasil, sobre este tema, transparecem uma realidade nacional que choca até os mais incautos.', 'Segundo a pesquisa, a maior parte dos entrevistados (28%) acredita que ter uma fé religiosa possui maior importância quando o assunto é vencer na vida. Tal resultado condiz com a formação histórica e cultural do Brasil, colonizado pelos portugueses e cuja incumbência, entre outras, foi a catequização massiva da terra conquistada, o que foi decisivo para transformar o país em uma nação primordialmente cristã. Consequentemente, a convicção de vencer pela fé representa uma característica do povo brasileiro, visto o crescente número de igrejas que surgem a todo momento.', 'Concomitante ao predomínio da Igreja na vida dos brasileiros, não houve um projeto de educação que visasse o crescimento intelectual e cultural da população, como mostra a pouca importância dada à cultura e ao lazer no que tange a obtenção do sucesso (2%). Todavia, o estudo, como forma de crescimento profissional aparece em destaque (21%), somente perdendo para a crença religiosa.', 'Por certo, o estudo e o conhecimento adquirido são as formas mais eficazes de libertação da condição de menoridade do ser humano, que segundo Kant, atrasava o desenvolvimento das capacidades e possíveis chances de se vencer na vida. Assim, a fé como forma de libertação vai de encontro à visão iluminista, na qual apenas o conhecimento liberta.', 'Assim, o estudo, além de desenvolver as capacidades técnicas a serem usadas profissionalmente pelo indivíduo, também aumenta sua perspectiva crítica de mundo, essencial para o convívio em sociedade e para distinguir inclusive, as possíveis armadilhas que a fé pode colocar em seu caminho, como promessas de ganhos pessoais feitas por pastores evangélicos, que nunca se concretizarão.', 'Portanto, o estudo representa o fator de maior importância para melhorar de vida, cada vez mais valorizado no mercado de trabalho como forma de seleção de um bom profissional, além de apresentar ganhos concretos para seu ""praticante"", que terá uma visão mais ampla do mundo ao qual pertence e como poderá agir para modifica-lo, sem necessariamente buscar o lucro.']","[160, 200, 160, 200, 160]"
3,0,"['A ideia de vencer na vida, presente no imaginário coletivo, divide opiniões quanto a qual seria o principal fator de mudança para o sucesso, na vida do cidadão brasileiro. Dessa forma, os resultados de uma pesquisa recentemente realizada pela ONG Oxfam Brasil, sobre este tema, transparecem uma realidade nacional que choca até os mais incautos.', 'Segundo a pesquisa, a maior parte dos entrevistados (28%) acredita que ter uma fé religiosa possui maior importância quando o assunto é vencer na vida. Tal resultado condiz com a formação histórica e cultural do Brasil, colonizado pelos portugueses e cuja incumbência, entre outras, foi a catequização massiva da terra conquistada, o que foi decisivo para transformar o país em uma nação primordialmente cristã. Consequentemente, a convicção de vencer pela fé representa uma característica do povo brasileiro, visto o crescente número de igrejas que surgem a todo momento.', 'Concomitante ao predomínio da Igreja na vida dos brasileiros, não houve um projeto de educação que visasse o crescimento intelectual e cultural da população, como mostra a pouca importância dada à cultura e ao lazer no que tange a obtenção do sucesso (2%). Todavia, o estudo, como forma de crescimento profissional aparece em destaque (21%), somente perdendo para a crença religiosa.', 'Por certo, o estudo e o conhecimento adquirido são as formas mais eficazes de libertação da condição de menoridade do ser humano, que segundo Kant, atrasava o desenvolvimento das capacidades e possíveis chances de se vencer na vida. Assim, a fé como forma de libertação vai de encontro à visão iluminista, na qual apenas o conhecimento liberta.', 'Assim, o estudo, além de desenvolver as capacidades técnicas a serem usadas profissionalmente pelo indivíduo, também aumenta sua perspectiva crítica de mundo, essencial para o convívio em sociedade e para distinguir inclusive, as possíveis armadilhas que a fé pode colocar em seu caminho, como promessas de ganhos pessoais feitas por pastores evangélicos, que nunca se concretizarão.', 'Portanto, o estudo representa o fator de maior importância para melhorar de vida, cada vez mais valorizado no mercado de trabalho como forma de seleção de um bom profissional, além de apresentar ganhos concretos para seu ""praticante"", que terá uma visão mais ampla do mundo ao qual pertence e como poderá agir para modifica-lo, sem necessariamente buscar o lucro.']","[160, 200, 160, 200, 0]"
3,0,"['A ideia de vencer na vida, presente no imaginário coletivo, divide opiniões quanto a qual seria o principal fator de mudança para o sucesso, na vida do cidadão brasileiro. Dessa forma, os resultados de uma pesquisa recentemente realizada pela ONG Oxfam Brasil, sobre este tema, transparecem uma realidade nacional que choca até os mais incautos.', 'Segundo a pesquisa, a maior parte dos entrevistados (28%) acredita que ter uma fé religiosa possui maior importância quando o assunto é vencer na vida. Tal resultado condiz com a formação histórica e cultural do Brasil, colonizado pelos portugueses e cuja incumbência, entre outras, foi a catequização massiva da terra conquistada, o que foi decisivo para transformar o país em uma nação primordialmente cristã. Consequentemente, a convicção de vencer pela fé representa uma característica do povo brasileiro, visto o crescente número de igrejas que surgem a todo momento.', 'Concomitante ao predomínio da Igreja na vida dos brasileiros, não houve um projeto de educação que visasse o crescimento intelectual e cultural da população, como mostra a pouca importância dada à cultura e ao lazer no que tange a obtenção do sucesso (2%). Todavia, o estudo, como forma de crescimento profissional aparece em destaque (21%), somente perdendo para a crença religiosa.', 'Por certo, o estudo e o conhecimento adquirido são as formas mais eficazes de libertação da condição de menoridade do ser humano, que segundo Kant, atrasava o desenvolvimento das capacidades e possíveis chances de se vencer na vida. Assim, a fé como forma de libertação vai de encontro à visão iluminista, na qual apenas o conhecimento liberta.', 'Assim, o estudo, além de desenvolver as capacidades técnicas a serem usadas profissionalmente pelo indivíduo, também aumenta sua perspectiva crítica de mundo, essencial para o convívio em sociedade e para distinguir inclusive, as possíveis armadilhas que a fé pode colocar em seu caminho, como promessas de ganhos pessoais feitas por pastores evangélicos, que nunca se concretizarão.', 'Portanto, o estudo representa o fator de maior importância para melhorar de vida, cada vez mais valorizado no mercado de trabalho como forma de seleção de um bom profissional, além de apresentar ganhos concretos para seu ""praticante"", que terá uma visão mais ampla do mundo ao qual pertence e como poderá agir para modifica-lo, sem necessariamente buscar o lucro.']","[160, 160, 160, 160, 80]"
4,0,"['O caminho do sucesso', 'É de fundamental importância, destacar como os brasileiros possuem dificuldades em se manter bem no mundo atual. A sociedade em comum é diversificada quando se comenta em termos de dinheiro, estudo, trabalho e fé religiosa. Cada indivíduo emprega seu modo de viver, da melhor maneira possível em todos os aspectos da vida cotidiana. Pessoas em geral, acham que só têm uma vida excelente, ou seja, que não passam dificuldades, quem realmente estudar e ter uma profissão para poder exercer.', 'Atualmente, observa-se que está cada vez mais dificultoso de se preservar com salários pequenos, miseráveis que não pagam parte das dívidas. É um fato assustador, pois dependemos de várias coisas para viver adequadamente. Pode-se mencionar, por exemplo, farmácia, alimentação, moradia, energia, água, dentre outros. Todos nós necessitamos de tudo isso para sobreviver, então é preciso que tenhamos uma vivência agradável.', 'Levando em consideração esses aspectos, evidenciamos que o estudo é de fundamental importância. Desse modo, com estudo, dedicação e batalha, alcançaremos o sucesso desejado. ']","[120, 80, 40, 40, 80]"
4,0,"['O caminho do sucesso', 'É de fundamental importância, destacar como os brasileiros possuem dificuldades em se manter bem no mundo atual. A sociedade em comum é diversificada quando se comenta em termos de dinheiro, estudo, trabalho e fé religiosa. Cada indivíduo emprega seu modo de viver, da melhor maneira possível em todos os aspectos da vida cotidiana. Pessoas em geral, acham que só têm uma vida excelente, ou seja, que não passam dificuldades, quem realmente estudar e ter uma profissão para poder exercer.', 'Atualmente, observa-se que está cada vez mais dificultoso de se preservar com salários pequenos, miseráveis que não pagam parte das dívidas. É um fato assustador, pois dependemos de várias coisas para viver adequadamente. Pode-se mencionar, por exemplo, farmácia, alimentação, moradia, energia, água, dentre outros. Todos nós necessitamos de tudo isso para sobreviver, então é preciso que tenhamos uma vivência agradável.', 'Levando em consideração esses aspectos, evidenciamos que o estudo é de fundamental importância. Desse modo, com estudo, dedicação e batalha, alcançaremos o sucesso desejado. ']","[160, 120, 120, 120, 40]"
4,0,"['O caminho do sucesso', 'É de fundamental importância, destacar como os brasileiros possuem dificuldades em se manter bem no mundo atual. A sociedade em comum é diversificada quando se comenta em termos de dinheiro, estudo, trabalho e fé religiosa. Cada indivíduo emprega seu modo de viver, da melhor maneira possível em todos os aspectos da vida cotidiana. Pessoas em geral, acham que só têm uma vida excelente, ou seja, que não passam dificuldades, quem realmente estudar e ter uma profissão para poder exercer.', 'Atualmente, observa-se que está cada vez mais dificultoso de se preservar com salários pequenos, miseráveis que não pagam parte das dívidas. É um fato assustador, pois dependemos de várias coisas para viver adequadamente. Pode-se mencionar, por exemplo, farmácia, alimentação, moradia, energia, água, dentre outros. Todos nós necessitamos de tudo isso para sobreviver, então é preciso que tenhamos uma vivência agradável.', 'Levando em consideração esses aspectos, evidenciamos que o estudo é de fundamental importância. Desse modo, com estudo, dedicação e batalha, alcançaremos o sucesso desejado. ']","[120, 80, 40, 80, 40]"
