id,prompt_id,essay,grades
51,2,"['Representantes do CFP (Conselho Federal de Psicologia) estão discutindo recentemente sobre a terapia da orientação sexual, algo sem fundamento. ', 'Fatos comprovam que o Brasil é um dos países mais violentos contra gays, lésbicas, e transexuais do mundo, mas isso não é motivo para que tenha como obrigatoriedade curar as pessoas que sejam assim. ', 'Ouve-se muito comentários maldosos discriminando essas pessoas. Mas já pararam para pensar que todos tem têm seu direito de ser o que quiserem ser? Pessoas com um pensamento muito fechado, que não se abrem para entender o que os outros tem têm de diferente e que também são normais apoiam com certeza a ""cura gay"".', 'Seria mais fácil se todos pudessem escolher o que ser sem se preocupar com o que os outros julgam. Ao invés de criar propostas de terapia de orientação sexual o CFP podia realizar métodos de igualdade que cumprissem tudo conforme os gostos e modos de cada. ']","[0, 0, 0, 0, 0]"
51,2,"['Representantes do CFP (Conselho Federal de Psicologia) estão discutindo recentemente sobre a terapia da orientação sexual, algo sem fundamento. ', 'Fatos comprovam que o Brasil é um dos países mais violentos contra gays, lésbicas, e transexuais do mundo, mas isso não é motivo para que tenha como obrigatoriedade curar as pessoas que sejam assim. ', 'Ouve-se muito comentários maldosos discriminando essas pessoas. Mas já pararam para pensar que todos tem têm seu direito de ser o que quiserem ser? Pessoas com um pensamento muito fechado, que não se abrem para entender o que os outros tem têm de diferente e que também são normais apoiam com certeza a ""cura gay"".', 'Seria mais fácil se todos pudessem escolher o que ser sem se preocupar com o que os outros julgam. Ao invés de criar propostas de terapia de orientação sexual o CFP podia realizar métodos de igualdade que cumprissem tudo conforme os gostos e modos de cada. ']","[160, 120, 120, 120, 80]"
51,2,"['Representantes do CFP (Conselho Federal de Psicologia) estão discutindo recentemente sobre a terapia da orientação sexual, algo sem fundamento. ', 'Fatos comprovam que o Brasil é um dos países mais violentos contra gays, lésbicas, e transexuais do mundo, mas isso não é motivo para que tenha como obrigatoriedade curar as pessoas que sejam assim. ', 'Ouve-se muito comentários maldosos discriminando essas pessoas. Mas já pararam para pensar que todos tem têm seu direito de ser o que quiserem ser? Pessoas com um pensamento muito fechado, que não se abrem para entender o que os outros tem têm de diferente e que também são normais apoiam com certeza a ""cura gay"".', 'Seria mais fácil se todos pudessem escolher o que ser sem se preocupar com o que os outros julgam. Ao invés de criar propostas de terapia de orientação sexual o CFP podia realizar métodos de igualdade que cumprissem tudo conforme os gostos e modos de cada. ']","[120, 120, 120, 120, 120]"
57,2,"['A homofobia vem aumentando diariamente, praticada por pessoas que dispõem de uma série de informações, opiniões, mas se recusam a aceitar o próximo, sobretudo se ele for julgado como “diferente” do que é acostumado se ver. Um dado alarmante, que necessita de atenção redobrada para que ao menos possamos sonhar com uma sociedade igualitária.', 'Em 2017, até o mês de maio, 117 pessoas foram assassinadas no Brasil devido à homofobia. É um assassinato a cada 25 horas, segundo o Grupo Gay da Bahia(GGB). Em 2016, consoante a Associação Internacional de Lésbicas, Gays, Bissexuais, Transgêneros e Intersexuais, 340 LGBTs foram mortos no Brasil. Em 2015, foram registradas 318 mortes, segundo informações do grupo.', 'Vale destacar que a homofobia não se expressa apenas na ocorrência de homicídios. Os homossexuais são constantemente agredidos, tanto fisicamente, quanto através de descriminalização em locais públicos, no entanto, as vítimas não podem fazer um boletim de ocorrência por um ataque homofóbico, pois na Constituição brasileira não existe uma penalização severa, além de prestação de serviços à comunidade ou então pagamento de cestas básicas, resultando em um incentivo ao crime.', 'Muitas vezes a homofobia vem acompanhada pelo racismo, “quando se trata de negro e gay, os estigmas ficam um pouco pior, pode-se dizer que a exclusão é dupla”. Quando se é branco e tem uma boa renda, a homossexualidade é tratada de forma mais compreensiva.', 'Em virtude dos fatos mencionados pode-se concluir que, odiar alguém a ponto de matar só porque esse alguém possuiu uma orientação sexual diferente da sua, é sim uma doença a ser combatida, afinal todos tem o direito de escolher ser feliz, de poder andar de mãos dadas com a pessoa amada, sem ser tratado de forma diferente. A educação sexual deveria ser obrigatória em todos os níveis escolares; o governo necessita criar uma lei mais severa e punir exemplarmente os agressores; e conscientizar a sociedade sobre o que é respeitar, e principalmente sobre o que é amar.']","[0, 0, 0, 0, 0]"
57,2,"['A homofobia vem aumentando diariamente, praticada por pessoas que dispõem de uma série de informações, opiniões, mas se recusam a aceitar o próximo, sobretudo se ele for julgado como “diferente” do que é acostumado se ver. Um dado alarmante, que necessita de atenção redobrada para que ao menos possamos sonhar com uma sociedade igualitária.', 'Em 2017, até o mês de maio, 117 pessoas foram assassinadas no Brasil devido à homofobia. É um assassinato a cada 25 horas, segundo o Grupo Gay da Bahia(GGB). Em 2016, consoante a Associação Internacional de Lésbicas, Gays, Bissexuais, Transgêneros e Intersexuais, 340 LGBTs foram mortos no Brasil. Em 2015, foram registradas 318 mortes, segundo informações do grupo.', 'Vale destacar que a homofobia não se expressa apenas na ocorrência de homicídios. Os homossexuais são constantemente agredidos, tanto fisicamente, quanto através de descriminalização em locais públicos, no entanto, as vítimas não podem fazer um boletim de ocorrência por um ataque homofóbico, pois na Constituição brasileira não existe uma penalização severa, além de prestação de serviços à comunidade ou então pagamento de cestas básicas, resultando em um incentivo ao crime.', 'Muitas vezes a homofobia vem acompanhada pelo racismo, “quando se trata de negro e gay, os estigmas ficam um pouco pior, pode-se dizer que a exclusão é dupla”. Quando se é branco e tem uma boa renda, a homossexualidade é tratada de forma mais compreensiva.', 'Em virtude dos fatos mencionados pode-se concluir que, odiar alguém a ponto de matar só porque esse alguém possuiu uma orientação sexual diferente da sua, é sim uma doença a ser combatida, afinal todos tem o direito de escolher ser feliz, de poder andar de mãos dadas com a pessoa amada, sem ser tratado de forma diferente. A educação sexual deveria ser obrigatória em todos os níveis escolares; o governo necessita criar uma lei mais severa e punir exemplarmente os agressores; e conscientizar a sociedade sobre o que é respeitar, e principalmente sobre o que é amar.']","[160, 40, 40, 120, 40]"
57,2,"['A homofobia vem aumentando diariamente, praticada por pessoas que dispõem de uma série de informações, opiniões, mas se recusam a aceitar o próximo, sobretudo se ele for julgado como “diferente” do que é acostumado se ver. Um dado alarmante, que necessita de atenção redobrada para que ao menos possamos sonhar com uma sociedade igualitária.', 'Em 2017, até o mês de maio, 117 pessoas foram assassinadas no Brasil devido à homofobia. É um assassinato a cada 25 horas, segundo o Grupo Gay da Bahia(GGB). Em 2016, consoante a Associação Internacional de Lésbicas, Gays, Bissexuais, Transgêneros e Intersexuais, 340 LGBTs foram mortos no Brasil. Em 2015, foram registradas 318 mortes, segundo informações do grupo.', 'Vale destacar que a homofobia não se expressa apenas na ocorrência de homicídios. Os homossexuais são constantemente agredidos, tanto fisicamente, quanto através de descriminalização em locais públicos, no entanto, as vítimas não podem fazer um boletim de ocorrência por um ataque homofóbico, pois na Constituição brasileira não existe uma penalização severa, além de prestação de serviços à comunidade ou então pagamento de cestas básicas, resultando em um incentivo ao crime.', 'Muitas vezes a homofobia vem acompanhada pelo racismo, “quando se trata de negro e gay, os estigmas ficam um pouco pior, pode-se dizer que a exclusão é dupla”. Quando se é branco e tem uma boa renda, a homossexualidade é tratada de forma mais compreensiva.', 'Em virtude dos fatos mencionados pode-se concluir que, odiar alguém a ponto de matar só porque esse alguém possuiu uma orientação sexual diferente da sua, é sim uma doença a ser combatida, afinal todos tem o direito de escolher ser feliz, de poder andar de mãos dadas com a pessoa amada, sem ser tratado de forma diferente. A educação sexual deveria ser obrigatória em todos os níveis escolares; o governo necessita criar uma lei mais severa e punir exemplarmente os agressores; e conscientizar a sociedade sobre o que é respeitar, e principalmente sobre o que é amar.']","[160, 40, 40, 120, 40]"
499,28,"['Na noite de domingo dia dois de setembro de 2018 por volta das 19:30 da noite, houve um incidente com o Museu nacional do Rio de Janeiro. Dentre tantos motivos relevantes, temos: destruição de fósseis antigos e assim como uma perca para o Brasil.', 'O Museu foi fundado em seis de junho de 1818, nesse ano completou duzentos anos da sua existência. Ninguém sabe como começou o incêndio, mas muitos acreditam que seja por conta das afiações assim como um morador local diz te visto um balão caindo no museu que poderia te causado o', 'devido incêndio. Foram perdidas muitas estruturas antigas e também a mais importante as fosseis de luzia.', 'O que aconteceu com o museu deixou vários brasileiros triste, porém foi uma perda de não só de objetos e sim de lembranças de pessoas importantes que conviveu la, ou seja, a familia real e que também foi contestado a independência.', 'O Michel Temer comentou que foi uma perda incalculável para o país e que foi perdido duzentos anos de pesquisas, assim como o MEC ofereceu ajuda para o que precisar para recuperar o patrimônio histórico do Brasil. ']","[0, 0, 0, 0, 0]"
499,28,"['Na noite de domingo dia dois de setembro de 2018 por volta das 19:30 da noite, houve um incidente com o Museu nacional do Rio de Janeiro. Dentre tantos motivos relevantes, temos: destruição de fósseis antigos e assim como uma perca para o Brasil.', 'O Museu foi fundado em seis de junho de 1818, nesse ano completou duzentos anos da sua existência. Ninguém sabe como começou o incêndio, mas muitos acreditam que seja por conta das afiações assim como um morador local diz te visto um balão caindo no museu que poderia te causado o', 'devido incêndio. Foram perdidas muitas estruturas antigas e também a mais importante as fosseis de luzia.', 'O que aconteceu com o museu deixou vários brasileiros triste, porém foi uma perda de não só de objetos e sim de lembranças de pessoas importantes que conviveu la, ou seja, a familia real e que também foi contestado a independência.', 'O Michel Temer comentou que foi uma perda incalculável para o país e que foi perdido duzentos anos de pesquisas, assim como o MEC ofereceu ajuda para o que precisar para recuperar o patrimônio histórico do Brasil. ']","[80, 40, 40, 120, 0]"
499,28,"['Na noite de domingo dia dois de setembro de 2018 por volta das 19:30 da noite, houve um incidente com o Museu nacional do Rio de Janeiro. Dentre tantos motivos relevantes, temos: destruição de fósseis antigos e assim como uma perca para o Brasil.', 'O Museu foi fundado em seis de junho de 1818, nesse ano completou duzentos anos da sua existência. Ninguém sabe como começou o incêndio, mas muitos acreditam que seja por conta das afiações assim como um morador local diz te visto um balão caindo no museu que poderia te causado o', 'devido incêndio. Foram perdidas muitas estruturas antigas e também a mais importante as fosseis de luzia.', 'O que aconteceu com o museu deixou vários brasileiros triste, porém foi uma perda de não só de objetos e sim de lembranças de pessoas importantes que conviveu la, ou seja, a familia real e que também foi contestado a independência.', 'O Michel Temer comentou que foi uma perda incalculável para o país e que foi perdido duzentos anos de pesquisas, assim como o MEC ofereceu ajuda para o que precisar para recuperar o patrimônio histórico do Brasil. ']","[80, 40, 80, 80, 0]"
513,28,"['O Ministério da Cultura não está nem um pouco preocupado com a preservação do patrimônio público, o incêndio do Museu Histórico Nacional é a grande confirmação deste fato.', 'Entre as 350 mil peças do vasto acervo, restou muito pouco do conhecimento científico existente, vai que entre os manuscritos tivesse uma árvore genealógica explicando o desenvolvimento psicomotor da criança, e que ali alguns professores de escolas públicas que estivessem preocupados com as questões sociais do país, levassem seus alunos e fizessem estes compreenderem a situação educacional do Brasil?', 'Juntos, eles podem compreender que Componentes curriculares como a Educação física e a Artes e Educação são essenciais para a formação das crianças na Educação Infantil (0 a 5 anos e 11 meses), permitindo que os discentes tenham acesso à alfabetização.', 'Descobrir que estes componentes curriculares trabalham as habilidades motoras básicas manipulativas (apanhar, lançar...) e locomotoras (correr, saltar...) que são fundamentais para a estruturação do corpo, pois a criança precisa ter a lateralidade (noção de lado direito e esquerdo, haja vista que, tanto a leitura, como a escrita, quanto o cálculo são realizados da esquerda para direita) estruturada, saber fazer a reversibilidade, ou seja, se colocar no ponto de vista do outro, no caso o caderno, para assim fazer a escrita, a leitura e o cálculo.', 'Contudo isso, os professores e alunos da rede pública devem, de forma organizada, pedir a inclusão destes componentes curriculares na teoria e na prática, permitindo a emancipação de uma classe social que atualmente está sendo vítima de uma ordem social vigente, deixando estes como seres puramente biológicos e não sociais e culturais.']","[0, 0, 0, 0, 0]"
